번호,이름,꽃말,특징,리뷰,봄,여름,가을,겨울,사진수,사진파일,사진존재여부
57,수선화,자기사랑,노란 봄의 전령사,이른 봄 노란색 수선화 한 단이면 집안에 봄이 찾아온 것 같아요.,O,,,,1,수선화1.jpg,Y
58,히야신스,겸손한 사랑,향기가 매우 진함,꽃시장에 히야신스가 나오기 시작하면 이제 진짜 봄이구나 싶어요.,O,,,O,1,히야신스2.jpg,Y
59,무스카리,관대한 사랑,포도송이 같은 꽃,작은 보라색 포도송이처럼 생긴 꽃이 너무 사랑스러워요.,O,,,,0,,N
60,양귀비,위로,얇은 종이 질감 꽃잎,몽우리 상태로 사와서 껍질을 벗고 화려한 꽃잎이 터져 나오는 과정이 경이로워요.,O,,,,4,양귀비1~4.jpg,Y
61,수레국화,행복,선명한 블루 컬러,흔치 않은 선명한 블루 컬러를 가진 꽃이라 소중해요.,O,O,,,0,,N
62,니겔라,꿈길의 사랑,독특한 씨방과 잎,잎이 안개처럼 퍼져 있고 꽃 뒤의 씨방 모양도 정말 독특해요.,,O,,,0,,N
63,베로니카,충실,꼬리 모양 라인 소재,강아지 꼬리처럼 길쭉하게 뻗은 라인이 포인트예요.,O,O,,,1,베로니카2.jpg,Y
64,에키놉스,동심,동그란 가시 공 모양,동글동글한 가시 공처럼 생긴 독특한 모양 덕분에 질감 포인트로 최고예요.,,O,O,,0,,N
65,에린지움,비밀스러운 고백,푸른 빛의 가시 형태,까칠까칠한 가시 같은 형태가 중성적이고 멋스러워요.,,O,O,,0,,N
66,프로테아,왕의 위엄,거대한 수입 꽃,얼굴이 성인 손바닥만큼 커서 한 송이만으로도 시선을 압도해요.,O,O,O,O,0,,N
67,방크샤,용기,독특한 질감의 열매,드라이플라워처럼 보이지만 생화 소재예요.,O,O,O,O,0,,N
68,핀쿠션,어디서나 성공,핀 꽂힌 모양 꽃,바늘꽂이에 핀이 꽂힌 것처럼 생긴 재미있는 꽃이에요.,O,O,O,O,0,,N
69,브루니아,행운,은색 구슬 소재,작은 은색 구슬들이 뭉쳐 있는 듯한 소재인데 겨울 느낌을 내기에 최고예요.,,,,O,0,,N
70,먼나무 열매,보호,빨간 열매 소재,가지에 빨간 열매가 조르르 달려 있어서 겨울 분위기를 내기 좋아요.,,,,O,0,,N
71,낙상홍,명랑,가지에 붙은 빨간 열매,가을부터 겨울까지 유통되는 대표적인 열매 소재예요.,,,O,O,0,,N
72,스노우베리,사랑의 열매,하얀 구슬 열매,하얗고 뽀얀 구슬 같은 열매가 너무 청초해서 인기 최고예요.,,,O,,0,,N
73,스노우베리(핑크),환영,분홍빛 열매,하얀 스노우베리와는 또 다른 사랑스러운 매력이 있어요.,,,O,,0,,N
74,버들강아지,친절,보들보들한 질감,만지면 보들보들한 솜털 같은 느낌이 너무 좋아요.,O,,,O,0,,N
75,벚꽃,절세미인,화사한 핑크 라인,봄 시즌에만 잠깐 나오는 대형 소재예요.,O,,,,0,,N
76,목련,고귀함,큰 꽃송이 라인,커다란 꽃송이가 피어날 때의 고귀한 자태가 압도적이에요.,O,,,,0,,N
77,몬스테라,헌신,큰 구멍 난 잎,잎이 워낙 커서 여름철 시원한 느낌의 디스플레이에 최고예요.,,O,,,0,,N
78,고광나무,추억,하얀 꽃이 피는 나무,하얀 꽃에서 퍼지는 은은한 향기가 일품이에요.,,O,,,0,,N
79,은엽아카시아,우정,은빛 잎사귀,잎사귀 뒷면이 은색이라 전체적으로 오묘하고 세련된 색감을 줘요.,O,,,O,0,,N
80,연밥,순결,독특한 형태의 씨방,연꽃이 지고 남은 씨방인데 그 자체로 훌륭한 디자인 요소가 돼요.,,,O,,0,,N
81,갈대,친절,가을 바람 무드,가을의 쓸쓸하면서도 낭만적인 분위기를 내고 싶을 때 필수죠.,,,O,,0,,N
82,팜파스,자랑,거대한 깃털 질감,거대한 깃털 같은 질감이 정말 부드럽고 웅장해요.,,,O,O,3,팜파스1~3.jpg,Y
83,목화,어머니의 사랑,따뜻한 솜 뭉치,겨울 하면 목화솜 다발을 빼놓을 수 없죠.,,,,O,0,,N
84,백묘국,온화함,흰 눈 내린 잎,잎 표면에 하얀 솜털이 있어서 눈이 내린 듯한 느낌을 줘요.,,,,O,0,,N
85,램스이어,위로,양 귀 같은 부드러움,이름처럼 양의 귀를 닮아 보들보들한 질감이 일품이에요.,O,O,,,0,,N
86,베어그라스,인내,가늘고 긴 선 소재,길고 얇아서 줄기를 묶거나 땋아서 다양한 형태를 만들 수 있어요.,O,O,O,O,0,,N
87,스마일락스,생기,길게 늘어지는 덩굴,줄기가 아주 길게 늘어져서 파티 테이블이나 웨딩 천장 장식을 할 때 필수예요.,O,O,O,O,0,,N
88,아이비,행운,덩굴성 잎 소재,꽃다발 아래로 자연스럽게 늘어뜨리는 라인을 잡을 때 최고예요.,O,O,O,O,0,,N
89,남천,전화위복,빨간 단풍 잎,단풍 든 잎사귀가 너무 예뻐서 가을/겨울철 화병 꽂이 소재로 자주 사요.,,,O,O,0,,N
90,편백,변치 않는 믿음,진한 나무 향,진한 숲속 향기가 나서 작업 내내 힐링 되는 소재예요.,,,,O,0,,N
91,알스트로메리아,우정,화려한 점박이 무늬,꽃잎의 점박이 무늬가 이국적이고 화려해요.,O,O,O,O,0,,N
92,글로리오사,영광,타오르는 불꽃 모양,불꽃이 피어오르는 듯한 독특한 형태가 너무 멋져요.,O,O,O,O,0,,N
93,유채꽃,명랑,노란 색감의 들꽃,제주도의 봄을 그대로 옮겨온 듯한 느낌을 줘요.,O,,,,0,,N
94,맨드라미,시들지 않는 사랑,뇌 모양/촛불 모양,질감이 벨벳처럼 보드랍고 색감이 아주 선명해요.,,,O,,0,,N
95,유리호프스,온화,노란 작은 꽃,작은 노란 꽃이 올망졸망 피어 있어 가든 무드를 내기 좋아요.,O,O,,,0,,N
96,등대꽃,수줍음,독특한 등대 모양,작은 등대가 달려 있는 듯한 형태가 아주 귀엽고 선이 예뻐요.,O,,,,0,,N
97,보리,일상이 보물,내츄럴한 이삭 소재,초록빛 보리 이삭은 청량한 느낌을 주고 익은 보리는 수확의 계절감을 줘요.,O,,,,0,,N
98,솔방울,불멸,겨울 장식 소재,크리스마스 소품을 만들 때 빠지면 섭섭한 소재죠.,,,,O,0,,N
99,버질리아,기다림,작은 알갱이 뭉치,작은 알갱이들이 몽글몽글 뭉쳐 있는 수입 소재예요.,O,,,O,0,,N
100,석죽,무심,단단하고 작은 꽃뭉치,꽃잎이 작고 단단해서 수명이 아주 길고 저렴해요.,O,O,,,0,,N
101,스타치스,변치 않는 마음,보라색 종이꽃,색감이 아주 선명하고 그대로 말려도 변색이 거의 없어요.,O,O,O,O,0,,N
102,블루에레,신비,은빛 도는 침엽 소재,은빛과 푸른빛이 동시에 도는 고급스러운 겨울 소재예요.,,,,O,0,,N
103,가넷잼로즈,열정; 매혹,진한 레드핑크 빛의 겹꽃잎 스프레이 장미,보석 이름을 딴 장미답게 색감이 정말 깊고 화려해요.,O,O,O,O,3,가넷잼로즈1~3.jpg,Y
104,붐바스틱,풍요; 행복,큼직한 화형의 가든 스타일 스프레이 장미,스프레이 장미 중에서 화형이 큼직하고 볼륨감이 좋아요.,O,O,O,O,1,붐바스틱1.jpg,Y
105,스위트스킨장미,달콤한 사랑,부드러운 살구빛 핑크의 스탠다드 장미,이름처럼 살결 같은 부드러운 색감이 매력적인 장미예요.,O,O,O,O,1,스위트스킨장미.jpg,Y
106,시네리아 유칼립투스,재생; 치유,은빛 도는 둥근 잎의 유칼립투스,잎이 동글동글하고 은빛이 돌아서 다른 유칼립투스보다 부드러운 느낌을 줘요.,O,O,O,O,1,시네리아유칼립투스1.jpg,Y
107,안나카리나로즈,우아한 사랑,클래식한 화형의 핑크 가든 장미,프랑스 여배우 이름을 딴 장미답게 정말 우아하고 고급스러워요.,O,O,O,O,3,안나카리나로즈1~3.jpg,Y
108,은방울꽃,다시 찾은 행복; 순수,작은 종 모양 꽃이 줄기에 매달린 형태,작은 종 모양 꽃이 줄줄이 매달려 있는 모습이 너무 청초해요.,O,,,,2,은방울꽃1.jpg/은방울꽃3.jpg,Y
109,줄리엣장미,로맨틱한 사랑,피치빛 컵 모양의 대형 가든 장미,데이비드 오스틴의 대표 품종으로 피치 색감이 정말 환상적이에요.,O,O,O,O,2,줄리엣장미1~2.jpg,Y
110,카탈리나로즈,고귀한 사랑,크림빛 도는 우아한 화형의 장미,부드러운 크림색에서 살짝 핑크가 감도는 색감이 너무 고급스러워요.,O,O,O,O,4,카탈리나로즈1~4.jpg,Y
111,캄파눌라,감사; 성실,종 모양의 보라색 꽃이 줄기를 따라 피는 형태,종 모양 꽃이 줄줄이 달려 있어서 자연스러운 가든 느낌을 내기 좋아요.,O,O,,,2,캄파눌라1~2.jpg,Y
112,캐리장미,순수한 사랑,작고 단정한 화형의 파스텔 장미,작고 동글한 화형이 정말 귀여운 장미예요.,O,O,O,O,3,캐리장미.jpg/캐리장미2~3.jpg,Y
113,클레마티스,아름다운 마음; 여행의 즐거움,덩굴성 식물로 큰 별 모양 꽃이 피는 형태,줄기가 덩굴처럼 자유롭게 뻗어서 자연스러운 라인을 만들 때 최고예요.,O,O,,,6,클레마티스1~4.jpg/클래마티스3.jpg/클래마티스5.jpg,Y
114,투베로사,위험한 쾌락; 관능,하얀 꽃이 줄기를 따라 위로 피며 향이 매우 강함,향수의 원료로 쓰일 만큼 향기가 정말 진하고 매혹적이에요.,,O,O,,1,투베로사1.jpg,Y
115,퐁퐁,밝은 미래,동글동글 완벽한 구 형태의 국화,이름처럼 동글동글한 형태가 너무 귀여워요.,,,O,O,4,퐁퐁1~4.jpg,Y
116,푸에고장미,불타는 열정,선명한 빨간색의 강렬한 스탠다드 장미,이름이 불이라는 뜻답게 색감이 정말 강렬해요.,O,O,O,O,3,푸에고장미1~3.jpg,Y
117,핑크벨벳장미,감탄; 존경,벨벳 질감의 진한 핑크색 장미,꽃잎 표면이 벨벳처럼 부드럽고 깊은 핑크색이 정말 매혹적이에요.,O,O,O,O,2,핑크벨벳장미1~2.jpg,Y
118,햇살로즈,따뜻한 사랑,밝은 노란빛의 화사한 장미,이름처럼 햇살 같은 밝은 노란색이 보는 사람을 기분 좋게 해줘요.,O,O,O,O,3,햇살로즈1~3.jpg,Y
119,헤라장미,영원한 사랑,크림빛 화이트의 대형 가든 장미,웨딩 부케의 여왕이라 불릴 만큼 신부들이 사랑하는 장미예요.,O,O,O,O,4,헤라장미1~4.jpg,Y
120,기젤라장미,섬세한 아름다움,작고 섬세한 화형의 스프레이 장미,꽃잎이 섬세하게 겹겹이 쌓여 있어 빈티지한 느낌을 줘요.,O,O,O,O,1,기젤라장미1.jpg,Y
121,맨스필드파크,고귀한 아름다움,우아한 피치핑크빛의 잉글리시 로즈,데이비드 오스틴의 잉글리시 로즈 품종으로 은은한 피치핑크 색감이 정말 고급스러워요.,O,O,O,O,1,맨스필드파크.jpg,Y
122,버블검장미,즐거운 사랑,선명한 핑크색의 발랄한 스탠다드 장미,이름처럼 사탕 같은 선명한 핑크색이 정말 발랄해요.,O,O,O,O,1,버블검장미1.jpg,Y
123,부르트장미,강인한 매력,샴페인빛의 시크한 스탠다드 장미,샴페인 브랜드 이름을 딴 장미답게 색감이 세련되고 고급스러워요.,O,O,O,O,1,부르트장미.jpg,Y
124,샤먼트장미,매혹적인 사랑,부드러운 분홍빛의 클래식한 장미,이름처럼 매력적인 분홍빛이 보는 이의 마음을 사로잡아요.,O,O,O,O,1,샤먼트장미.jpg,Y
125,소프라노장미,고상한 사랑,우아한 색감의 스탠다드 장미,이름에 걸맞게 고상하고 우아한 색감이 매력적인 장미예요.,O,O,O,O,1,소프라노장미1.jpg,Y
126,스파이더 거베라,신비로운 아름다움,거미 다리처럼 길고 가느다란 꽃잎의 거베라,일반 거베라와 달리 꽃잎이 실처럼 가늘고 길어서 독특한 매력이 있어요.,O,O,,,1,스파이더 거베라.jpg,Y
127,신시아장미,순수한 아름다움,파스텔톤의 부드러운 화형을 가진 장미,부드러운 파스텔 색감이 사랑스러워서 여성분들에게 인기가 많아요.,O,O,O,O,1,신시아장미1.jpg,Y
128,카사노바장미,황홀한 사랑,크림 옐로우빛의 우아한 대형 장미,부드러운 크림 옐로우 색감이 고급스럽고 우아해요.,O,O,O,O,2,카사노바장미1~2.jpg,Y
129,카테이션,변함없는 애정,풍성한 겹꽃잎의 화사한 화형,꽃잎이 풍성하게 겹겹이 쌓여 있어 한 송이만으로도 볼륨감이 좋아요.,O,O,O,O,5,카테이션1~5.jpg,Y
130,캄파넬라로즈,감사하는 마음,종 모양으로 피어나는 앙증맞은 가든 장미,작은 종 모양으로 동글동글하게 피어나는 형태가 너무 귀여운 가든 장미예요.,O,O,O,O,1,캄파넬라로즈.jpg,Y
131,코랄작약,수줍은 고백,산호빛 핑크의 화려한 작약,일반 작약의 화려함에 산호빛 핑크 색감이 더해져 정말 매혹적이에요.,O,O,,,1,코랄작약.jpg,Y
132,타임스퀘어장미,화려한 열정,강렬한 색감의 투톤 장미,이름처럼 화려하고 강렬한 색감이 시선을 사로잡는 장미예요.,O,O,O,O,1,타임스퀘어장미.jpg,Y
133,트레비장미,소원; 희망,부드러운 파스텔 핑크의 우아한 장미,트레비 분수에서 따온 이름처럼 로맨틱한 감성을 지닌 장미예요.,O,O,O,O,1,트레비장미1.jpg,Y
134,프록스,합의; 동의,작은 꽃들이 뭉쳐 피는 동글동글한 화형,작은 꽃송이들이 동글하게 뭉쳐 피어서 볼륨감이 좋아요.,O,O,,,3,프록스1~3.jpg,Y
135,하이베리콤,보호; 안전,알록달록한 열매가 달린 필러 소재,동글동글한 열매가 너무 귀여워서 꽃다발에 포인트로 자주 넣어요.,O,O,O,O,1,하이베리콤1.jpg,Y
136,홍조팝,풍요로운 사랑,붉은빛이 도는 화사한 조팝나무,일반 조팝나무와 달리 줄기와 꽃봉오리에 붉은빛이 도는 것이 특징이에요.,O,,,,1,홍조팝1.jpg,Y
137,가브리엘라장미,,,,O,O,O,O,1,가브리엘라장미.jpg,Y
138,골든볼,,,,,O,O,,3,골든볼.jpg/골든볼2~3.jpg,Y
139,미모사 플로리반다,,,,O,,,,2,미모사 플로리반다1~2.jpg,Y
140,미정,,,,,,,,3,미정.jpg/미정1.jpg/미정3.jpg,Y
141,스텔링센세이션장미,,,,O,O,O,O,2,스텔링센세이션장미1~2.jpg,Y
142,신지매,,,,,,,,1,신지매.jpg,Y
143,실거베라,,,,O,O,,,1,실거베라1.jpg,Y
144,유칼리투스,,,,O,O,O,O,2,유칼리투스1~2.jpg,Y
